,user_location,user_description,date,text,hashtags,source
75,,Todos por um Brasil melhor,2023-01-09 13:17:20+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for Android
76,,"#VamosJuntosPeloBrasil 
#JuntosPeloBrasil 
#Lula Sem medo de ser feliz",2023-01-09 13:17:17+00:00,"RT @revistaforum: Lula convoca comando das Forças Armadas e fala com Clinton, ex-presidente dos EUA

SAIBA MAIS: https://t.co/58GaX8eJFr ht…",,Twitter Web App
77,"Brasília, Brasil 🇧🇷🇧🇷🇧🇷","Mineiro, agrônomo, conservador, Fechado com Bolsonaro. 🇧🇷🇧🇷🇧🇷🇧🇷",2023-01-09 13:17:08+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for Android
78,,❤️🌊,2023-01-09 13:17:08+00:00,"RT @BoozMachado: ta, eu apoio sim o Bolsonaro, e ainda n aceito que Lula governe, mas isso que eles tão fazendo la em Brasília é uma falta…",,Twitter for Android
79,,,2023-01-09 13:17:05+00:00,RT @TerraBrasilnot: Mercado financeiro assustado com governo Lula e fuga de capital pode quebrar o Brasil https://t.co/PEvDZZedTU,,Twitter for Android
80,,"A quem não acredita na inocência, importância e grandeza do presidente Lula, favor não me seguir, pq n aceito ingratidão, ignorância e falta de memória !!",2023-01-09 13:17:04+00:00,"RT @HugoBor73884636: ""Todas as pessoas que fizeram isso serão encontradas e punidas"" - Lula decreta estado de emergência, após tentativa fr…",,Twitter for Android
81,,O Brasil acima de tudo. Deus acima de todos! 🇧🇷,2023-01-09 13:17:00+00:00,"RT @PatyyyyRocha: Lula quer criar um bode expiatório para as manifestações que ocorrem em todo o Brasil, o que ele finge não saber é que nã…",,Twitter for Android
82,"Belém, Brasil","O ideal é ser feliz, não perfeito.",2023-01-09 13:16:58+00:00,"RT @brasil247: Lula se reúne com Weber nesta segunda-feira para discutir ataques terroristas em Brasília
https://t.co/xzmfk1II2H",,Twitter for Android
83,"São Paulo, Brasil","Casada, Formada em Administração de Empresas.",2023-01-09 13:16:43+00:00,"RT @reportersalles: Anunciado por Lula como interventor federal do DF, comunista Ricardo Cappelli já trouxe Fidel Castro para o Brasil e fo…",,Twitter for Android
84,"Sapiranga, Brasil",,2023-01-09 13:16:42+00:00,"RT @claudinha_jp: Sim muito assustado. Bolsonaro fez tantas coisas boas para o Brasil, para esses inútil DESTRUIR.
O Lula é cheio de ódio,v…",,Twitter for Android
85,,🥴,2023-01-09 13:16:40+00:00,"RT @AlvaroMamute: Parece sacanagem, mas a melhor coisa que podia acontecer MESMO eram as torcidas organizadas do Brasil lombrarem esses ter…",,Twitter for Android
86,,Eu simplesmente não existo,2023-01-09 13:16:30+00:00,"RT @ArletecSantana1: Lula sempre mentindo!
#Brazil #Brasile #Brasil #Brasilien #LulaVaiCair https://t.co/ToqvmV5kmb","['Brazil', 'Brasile', 'Brasil', 'Brasilien', 'LulaVaiCair']",Twitter for Android
87,"Brasília, Brasil",,2023-01-09 13:16:28+00:00,"RT @areamilitarof: O interventor para a segurança no Distrito Federal  nomeado por Flavio Dino, Ricardo Capelli, foi do PCdoB e presidente…",,Twitter for Android
88,"Salvador, Bahia, Brasil","*O PREÇO DA LIBERDADE É A ETERNA VIGILÂNCIA*REVISÃO DO ORDENAMENTO JURÍDICO*FAXINA GERAL*REFORMAS*

BOLSONARO ATÉ 2026

*PLUS ULTRA*

É PRECISO OUSAR E AVANÇAR",2023-01-09 13:16:24+00:00,"RT @reportersalles: Anunciado por Lula como interventor federal do DF, comunista Ricardo Cappelli já trouxe Fidel Castro para o Brasil e fo…",,Twitter for Android
89,,,2023-01-09 13:16:21+00:00,"RT @Amaro_Coronel: Lula demonstra toda sua truculência e nomeia um comunista como interventor em Brasília. Cappelli, filiado ao PCdoB, pres…",,Twitter for Android
90,,#AmorpeloBrasil #LiberdadeBrasil,2023-01-09 13:16:16+00:00,RT @juliadecastrobr: Lula declara intervenção e o interventor responsável é um COMUNISTA de primeira e ele vai poder fazer usa de todas as…,,Twitter for Android
91,,,2023-01-09 13:16:05+00:00,"RT @reportersalles: Anunciado por Lula como interventor federal do DF, comunista Ricardo Cappelli já trouxe Fidel Castro para o Brasil e fo…",,Twitter for Android
92,"Juiz de Fora, Brasil",Esposa e Mãe de duas lindas crianças ❤️💙@kammymariano_,2023-01-09 13:15:59+00:00,"RT @anthunesarth: Vladimir Putin e Joe Biden criticam atos golpistas de bolsonaristas e dão apoio total a Lula. ""Apoiamos plenamente o pres…",,Twitter for Android
93,"Aracaju, Brasil",♊•🌻,2023-01-09 13:15:55+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter for Android
94,"Rio de Janeiro, Brasil",@Flamengo @ufrrjbr - Física e futura cosmóloga,2023-01-09 13:15:54+00:00,"RT @choquei: 🚨BRASIL: No momento do discurso do presidente Lula, terroristas comemoram o decreto de intervenção federal, confundindo com in…",,Twitter for Android
95,,Mi sangre es bien roja y mi corazón late a la izquierda. Comprometida con mi Revolución.Fidelista. Sígueme y te sigo,2023-01-09 13:15:47+00:00,"RT @CarlotaLucumi: O povo revolucionário de 🇨🇺 condena os atos violentos e antidemocráticos que ocorrem no #Brasil, com o objetivo de gerar…",['Brasil'],Twitter for Android
96,,,2023-01-09 13:15:46+00:00,"RT @WongCorrales: Cuba Fica com o povo brasileiro, força Lula força Brasil https://t.co/U6mLTQ5VxD",,Twitter for Android
97,,"Professor, cientista social e apreciador de memes.",2023-01-09 13:15:43+00:00,"RT @safbf: Lula tem nas mãos a oportunidade de refundar o Brasil dos últimos anos. Não vai tornar nosso país um paraíso, mas é possível des…",,Twitter Web App
98,,,2023-01-09 13:15:38+00:00,"RT @Conservadora191: QUANDO O STF ALTEROU A LEI PARA SOLTAR LULA, CAUSOU O QUE ACONTECEU ONTEM.
Toda culpa do Brasil estar sem lei é ordem…",,Twitter for Android
99,"Juiz de Fora, Brasil",Esposa e Mãe de duas lindas crianças ❤️💙@kammymariano_,2023-01-09 13:15:38+00:00,RT @safbf: Existe uma diferença crucial entre a invasão do Capitólio em 6 de janeiro nos EUA e a invasão da sede dos 3 poderes hoje em Bras…,,Twitter for Android
100,,,2023-01-09 13:15:36+00:00,"RT @thiagomartinba: Lula liberou as importações de produtos chineses, desindustrializando o Brasil, será a falência da indústria nacional,…",,Twitter for Android
101,"Teresina, Brasil","Deus Acima de Tudo!
O Poder Emana do Povo🇧🇷🇧🇷!
Anti-Corrupto, Anti-Comunista, Anti-Esquerdopata, Odeio Petista.",2023-01-09 13:15:35+00:00,"RT @areamilitarof: O interventor para a segurança no Distrito Federal  nomeado por Flavio Dino, Ricardo Capelli, foi do PCdoB e presidente…",,Twitter for Android
102,"Aracaju, Brasil","Lula lá... Simbora BRASIL ,chega de sofrimento.",2023-01-09 13:15:26+00:00,RT @safbf: Existe uma diferença crucial entre a invasão do Capitólio em 6 de janeiro nos EUA e a invasão da sede dos 3 poderes hoje em Bras…,,Twitter for Android
103,"São Paulo, Brasil","https://t.co/Lo4dScl7Fm

Οὖτις ἐμοὶ γ ὄνομα. Λάθε βιώσας.",2023-01-09 13:15:25+00:00,"RT @izadoradias29: contra o governo, propomos aos companheiros do PT, dos demais partidos de esquerda, da CUT, da Frente Brasil Popular etc…",,Twitter Web App
