Level,Date and Time,Source,Event ID,Task,Category
Information,12/29/2022 9:18:11 PM,Microsoft-Windows-Kernel-Boot,20,(31),The last shutdown's success status was true. The last boot's success status was true.
Information,12/29/2022 9:18:11 PM,Microsoft-Windows-Kernel-Boot,153,(62),Virtualization-based security (policies: 0) is disabled.
Information,12/29/2022 9:18:11 PM,Microsoft-Windows-Kernel-General,12,(1),The operating system started at system time ‎2022‎-‎12‎-‎30T00:18:10.500000000Z.
Information,12/29/2022 9:17:59 PM,Microsoft-Windows-Kernel-General,13,(2),The operating system is shutting down at system time ‎2022‎-‎12‎-‎30T00:17:59.589751200Z.
Information,12/29/2022 9:17:59 PM,Microsoft-Windows-Kernel-Power,577,(280),The system has prepared for a system initiated reboot from Active.
Information,12/29/2022 9:17:58 PM,Microsoft-Windows-Kernel-Power,109,(103),"The kernel power manager has initiated a shutdown transition.

Action: Power Action Reboot 
Event Code: 0x0 
Reason: Kernel API"
Information,12/29/2022 9:06:11 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 13 to 15.

Reason InputAccelerometer 

BootId: 7"
Information,12/29/2022 9:05:13 PM,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 12 to 13.

Reason SessionUnlock 

BootId: 7"
Information,12/29/2022 9:00:17 PM,Microsoft-Windows-WLAN-AutoConfig,4001,None,"WLAN AutoConfig service has successfully stopped.
"
Warning,12/29/2022 9:00:17 PM,Microsoft-Windows-WLAN-AutoConfig,10002,None,"WLAN Extensibility Module has stopped.

Module Path: C:\WINDOWS\system32\IntelIHVRouter08.dll
"
Information,12/29/2022 9:18:28 PM,EventLog,6013,None,The system uptime is 18 seconds.
Information,12/29/2022 9:18:28 PM,EventLog,6005,None,The Event log service was started.
Information,12/29/2022 9:18:28 PM,EventLog,6009,None,Microsoft (R) Windows (R) 10.00. 22621  Multiprocessor Free.
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-Dhcp-Client,50037,Service State Event,DHCPv4 client service is stopped. ShutDown Flag value is 1
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-Dhcp-Client,50106,Service State Event,DHCPv4 is waiting on DHCPv6 service to stop
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-DHCPv6-Client,51057,Service State Event,DHCPv6 client service stop is almost done.DHCP Context Ref count is 1
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-DHCPv6-Client,51047,Service State Event,DHCPv6 client service is stopped. ShutDown Flag value is 1
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-Dhcp-Client,50105,Service State Event,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
Information,12/29/2022 9:00:16 PM,Microsoft-Windows-Dhcp-Client,50104,Service State Event,DHCPv4 client received shutdown notification
Information,12/29/2022 9:00:16 PM,EventLog,6006,None,The Event log service was stopped.
Information,12/29/2022 9:00:11 PM,Microsoft-Windows-Winlogon,7002,(1102),User Logoff Notification for Customer Experience Improvement Program
Information,12/29/2022 9:00:09 PM,User32,1074,None,"The process C:\WINDOWS\system32\rstrui.exe (SAEZO) has initiated the restart of computer SAEZO on behalf of user Saezo\OzeasSantos for the following reason: No title for this reason could be found
 Reason Code: 0x2001a
 Shutdown Type: restart
 Comment: System Restore needs to restart your computer to restore your files and settings."
